Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Gabon,Africa,34601,1554.588,1159,52.073,0,224,10.064,11,0.494,0
Guinea,Africa,30626,233.202,54,0.411,0,385,2.932,0,0,0
Papua New Guinea,Western Pacific,27895,311.78,3038,33.955,268,335,3.744,26,0.291,0
United Republic of Tanzania,Africa,26034,43.583,0,0,0,724,1.212,0,0,0
Togo,Africa,25989,313.925,103,1.244,22,242,2.923,4,0.048,2
Belize,Americas,24948,6274.206,958,240.929,0,471,118.452,10,2.515,0
Benin,Africa,24678,203.56,118,0.973,0,161,1.328,0,0,0
Haiti,Americas,23406,205.27,165,1.447,0,658,5.771,0,0,0
Bahamas,Americas,22154,5633.652,200,50.859,0,630,160.206,4,1.017,0
Seychelles,Africa,22135,22507.041,188,191.16,0,114,115.916,0,0,0
Lesotho,Africa,21584,1007.539,60,2.801,0,656,30.622,1,0.047,0
Somalia,Eastern Mediterranean,21269,133.824,0,0,0,1180,7.425,0,0,0
Mayotte,Africa,20485,7508.751,46,16.861,0,182,66.712,1,0.367,0
Burundi,Africa,19940,167.693,280,2.355,31,14,0.118,0,0,0
Timor-Leste,South-East Asia,19770,1499.494,45,3.413,0,121,9.177,2,0.152,0
Tajikistan,Europe,17486,183.337,0,0,0,125,1.311,0,0,0
Mauritius,Africa,17143,1347.966,522,41.045,96,153,12.03,24,1.887,5
Curaçao,Americas,16972,10342.915,87,53.019,0,172,104.819,3,1.828,0
Congo,Africa,16868,305.686,906,16.419,460,249,4.512,18,0.326,10
Mali,Africa,15810,78.071,206,1.017,33,558,2.755,1,0.005,0
Aruba,Americas,15765,14765.937,73,68.374,0,170,159.227,0,0,0
Andorra,Europe,15404,19936.582,66,85.42,0,130,168.252,0,0,0
Burkina Faso,Africa,14793,70.769,107,0.512,0,214,1.024,11,0.053,0
Guam,Western Pacific,14345,8499.482,315,186.639,0,227,134.499,5,2.963,0
Barbados,Americas,13934,4848.717,1829,636.451,0,123,42.801,15,5.22,0
Djibouti,Eastern Mediterranean,13444,1360.729,61,6.174,8,181,18.32,2,0.202,0
Equatorial Guinea,Africa,13166,938.428,326,23.236,69,163,11.618,7,0.499,0
Iceland,Europe,12899,3542.377,324,88.978,0,33,9.063,0,0,0
Nicaragua,Americas,12549,189.432,380,5.736,0,207,3.125,1,0.015,0
Saint Lucia,Americas,12313,6705.441,138,75.152,0,237,129.066,4,2.178,0
South Sudan,Africa,12293,109.82,70,0.625,4,133,1.188,3,0.027,0
Brunei Darussalam,Western Pacific,12113,2768.819,1253,286.414,212,53,12.115,4,0.914,0
Central African Republic,Africa,11518,238.479,40,0.828,0,100,2.07,0,0,0
Jersey,Europe,10567,9802.776,210,194.812,0,80,74.214,1,0.928,0
New Caledonia,Western Pacific,10482,3671.479,505,176.884,28,257,90.018,16,5.604,5
Gambia,Africa,9956,411.972,10,0.414,0,339,14.028,0,0,0
Yemen,Eastern Mediterranean,9662,32.395,150,0.503,12,1838,6.162,36,0.121,3
Isle of Man,Europe,8931,10503.105,426,500.988,0,57,67.034,1,1.176,0
United States Virgin Islands,Americas,7099,6798.181,54,51.712,0,78,74.695,0,0,0
Eritrea,Africa,6789,191.432,16,0.451,1,45,1.269,1,0.028,0
Sierra Leone,Africa,6397,80.193,0,0,0,121,1.517,0,0,0
Niger,Africa,6248,25.811,88,0.364,12,207,0.855,3,0.012,1
Guinea-Bissau,Africa,6131,311.534,2,0.102,0,141,7.165,0,0,0
Gibraltar,Europe,5824,17286.516,84,249.325,0,98,290.879,0,0,0
Liberia,Africa,5811,114.895,4,0.079,0,287,5.675,1,0.02,0
Grenada,Americas,5790,5145.615,69,61.321,0,193,171.52,1,0.889,0
Bermuda,Americas,5593,8981.421,26,41.752,0,95,152.554,0,0,0
San Marino,Europe,5497,16197.183,24,70.717,0,91,268.136,0,0,0
New Zealand,Western Pacific,5389,111.753,694,14.392,111,28,0.581,0,0,0
Chad,Africa,5069,30.86,0,0,0,174,1.059,0,0,0
Saint Vincent and the Grenadines,Americas,4729,4262.665,311,280.332,0,56,50.478,9,8.112,0
Sint Maarten,Americas,4467,10416.958,29,67.627,0,75,174.899,5,11.66,0
Dominica,Americas,4465,6202.164,312,433.388,0,30,41.672,2,2.778,0
Comoros,Africa,4204,483.44,18,2.07,4,147,16.904,0,0,0
Antigua and Barbuda,Americas,3984,4068.254,96,98.03,0,97,99.051,2,2.042,0
Saint Martin,Americas,3888,10057.167,0,0,0,37,95.709,0,0,0
Sao Tome and Principe,Africa,3697,1686.903,22,10.038,6,56,25.552,0,0,0
Liechtenstein,Europe,3629,9365.886,28,72.264,0,58,149.689,0,0,0
Monaco,Europe,3387,8630.619,29,73.897,0,35,89.186,0,0,0
Turks and Caicos Islands,Americas,2941,7595.95,19,49.073,0,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Bhutan,South-East Asia,2617,339.162,0,0,0,3,0.389,0,0,0
Saint Kitts and Nevis,Americas,2591,4871.033,45,84.599,0,21,39.48,0,0,0
Bonaire,Americas,2326,11121.205,75,358.594,0,19,90.844,0,0,0
Guernsey,Europe,1964,3046.473,147,228.02,0,22,34.125,1,1.551,0
Saint Barthélemy,Americas,1659,16783.005,0,0,0,4,40.465,0,0,0
Faroe Islands,Europe,1410,2885.501,70,143.252,0,2,4.093,0,0,0
Cayman Islands,Americas,1136,1728.545,125,190.201,0,2,3.043,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Anguilla,Americas,743,4952.673,75,499.933,0,1,6.666,0,0,0
Greenland,Europe,716,1261.185,62,109.209,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,291,505.586,3,5.212,0,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,-1,-31.857,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,1,1.812,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.977,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
